i	x_i	scarto
1	  1.89285128220591	          3.8929e+00
2	  0.19191183643963	          1.7009e+00
3	  0.99769468514530	          8.0578e-01
4	  0.78654949118470	          2.1115e-01
5	  0.87993594134833	          9.3386e-02
6	  0.84168280678491	          3.8253e-02
7	  0.85796283684360	          1.6280e-02
8	  0.85113593798708	          6.8269e-03
9	  0.85401722723013	          2.8813e-03
10	  0.85280442603360	          1.2128e-03
11	  0.85331550055603	          5.1107e-04
12	  0.85310023617650	          2.1526e-04
13	  0.85319092364274	          9.0687e-05
14	  0.85315272168097	          3.8202e-05
15	  0.85316881477415	          1.6093e-05
16	  0.85316203544262	          6.7793e-06
17	  0.85316489130295	          2.8559e-06
18	  0.85316368824680	          1.2031e-06
19	  0.85316419504529	          5.0680e-07
20	  0.85316398155185	          2.1349e-07
21	  0.85316407148791	          8.9936e-08
22	  0.85316403360153	          3.7886e-08
23	  0.85316404956151	          1.5960e-08
24	  0.85316404283822	          6.7233e-09
25	  0.85316404567047	          2.8322e-09
26	  0.85316404447736	          1.1931e-09
27	  0.85316404497997	          5.0261e-10
28	  0.85316404476824	          2.1173e-10
29	  0.85316404485743	          8.9193e-11
30	  0.85316404481986	          3.7573e-11
31	  0.85316404483569	          1.5828e-11
32	  0.85316404482902	          6.6676e-12
33	  0.85316404483183	          2.8089e-12
34	  0.85316404483065	          1.1833e-12
35	  0.85316404483114	          4.9827e-13

