i	x_i	scarto
1	  2.12637711689380	          2.6377e-02
2	  2.13120328716034	          4.8262e-03
3	  2.13207573730862	          8.7245e-04
4	  2.13223310887291	          1.5737e-04
5	  2.13226148413868	          2.8375e-05
6	  2.13226660004521	          5.1159e-06
7	  2.13226752240354	          9.2236e-07
8	  2.13226768869721	          1.6629e-07
9	  2.13226771867859	          2.9981e-08
10	  2.13226772408399	          5.4054e-09
11	  2.13226772505854	          9.7455e-10
12	  2.13226772523424	          1.7570e-10
13	  2.13226772526592	          3.1678e-11
14	  2.13226772527163	          5.7114e-12
15	  2.13226772527266	          1.0294e-12
16	  2.13226772527284	          1.8563e-13

